outcome,baseline_rate,lift,rate,weighted_yes,weighted_yes_m,weighted_n,weighted_n_m,sample_n,group_size,group_1,value_1,group_2,value_2
subsidiary_work,0.12907,2.84,0.366717,2657064407,2.657,7245537119,7.246,2357,2,age_band,35-44,Household Type,casual labour in agriculture
subsidiary_work,0.12907,2.77,0.357639,13876615484,13.877,38800588746,38.801,13166,2,life_stage,working_age,Household Type,casual labour in non-agriculture
subsidiary_work,0.12907,2.75,0.354374,580927553,0.581,1639307038,1.639,1945,2,Household Religion,others,Sector,rural
subsidiary_work,0.12907,2.73,0.352644,128996169,0.129,365796721,0.366,336,2,Household Religion,others,Household Type,casual labour in non-agriculture
subsidiary_work,0.12907,2.72,0.351466,2930356495,2.93,8337522376,8.338,2566,2,age_band,45-59,Household Type,casual labour in agriculture
subsidiary_work,0.12907,2.71,0.349432,4748780956,4.749,13590013627,13.59,4855,2,age_band,45-59,Household Type,casual labour in non-agriculture
subsidiary_work,0.12907,2.7,0.348495,6510667808,6.511,18682219964,18.682,5826,2,life_stage,working_age,Household Type,casual labour in agriculture
subsidiary_work,0.12907,2.69,0.347483,151287589,0.151,435380907,0.435,413,2,Marital Status,divorced/separated,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.67,0.344898,33080459961,33.08,95913717104,95.914,33335,2,life_stage,working_age,Household Type,self-employed in agriculture
subsidiary_work,0.12907,2.66,0.34391,573043993,0.573,1666262549,1.666,2125,2,Household Religion,others,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.61,0.33642,9550398635,9.55,28388342939,28.388,9621,2,age_band,35-44,General Education Level,not literate
subsidiary_work,0.12907,2.55,0.329593,14305191762,14.305,43402538009,43.403,15461,2,age_band,45-59,Household Type,self-employed in agriculture
subsidiary_work,0.12907,2.53,0.326733,142841659,0.143,437181350,0.437,266,2,General Education Level,diploma/certificate course,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.52,0.324757,16919720405,16.92,52099586290,52.1,17131,2,Marital Status,currently married,Household Type,casual labour in non-agriculture
subsidiary_work,0.12907,2.51,0.323925,30816246500,30.816,95133824816,95.134,34953,2,age_band,35-44,Sector,rural
subsidiary_work,0.12907,2.51,0.324607,7565919531,7.566,23307953484,23.308,7096,2,Marital Status,currently married,Household Type,casual labour in agriculture
subsidiary_work,0.12907,2.51,0.323603,4808229468,4.808,14858397650,14.858,5885,2,Household Social Group,scheduled tribe,Household Type,casual labour in non-agriculture
subsidiary_work,0.12907,2.48,0.320587,119113742,0.119,371548530,0.372,423,2,General Education Level,primary,Household Religion,others
subsidiary_work,0.12907,2.46,0.317421,4886587273,4.887,15394663847,15.395,12142,2,General Education Level,middle,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.45,0.316368,11313758266,11.314,35761358936,35.761,19764,2,Household Social Group,scheduled tribe,Household Type,self-employed in agriculture
subsidiary_work,0.12907,2.42,0.312278,7649276532,7.649,24495050024,24.495,16624,2,life_stage,youth,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.41,0.310764,28294855253,28.295,91049335308,91.049,32449,2,life_stage,working_age,General Education Level,not literate
subsidiary_work,0.12907,2.41,0.310746,167705700,0.168,539687824,0.54,816,2,life_stage,youth,Household Religion,others
subsidiary_work,0.12907,2.38,0.307055,2259411162,2.259,7358331336,7.358,3049,2,age_band,35-44,General Education Level,literate: below primary
subsidiary_work,0.12907,2.37,0.305741,76374434896,76.374,249800686366,249.801,90869,2,life_stage,working_age,Sector,rural
subsidiary_work,0.12907,2.37,0.305819,171754219,0.172,561619693,0.562,605,2,General Education Level,not literate,Household Religion,others
subsidiary_work,0.12907,2.36,0.304272,31658097037,31.658,104045444646,104.045,38504,2,age_band,45-59,Sector,rural
subsidiary_work,0.12907,2.35,0.303225,40687454411,40.687,134182469996,134.182,45528,2,Marital Status,currently married,Household Type,self-employed in agriculture
subsidiary_work,0.12907,2.34,0.301774,4319491747,4.319,14313668873,14.314,3675,2,age_band,25-34,General Education Level,not literate
subsidiary_work,0.12907,2.33,0.301286,6552789985,6.553,21749435645,21.749,9097,2,age_band,35-44,General Education Level,primary
subsidiary_work,0.12907,2.33,0.300943,1850443336,1.85,6148812719,6.149,1858,2,age_band,25-34,Household Type,casual labour in agriculture
subsidiary_work,0.12907,2.3,0.296663,15971983629,15.972,53838901720,53.839,20588,2,age_band,45-59,General Education Level,not literate
subsidiary_work,0.12907,2.3,0.297062,5774588552,5.775,19439028778,19.439,7629,2,age_band,35-44,Household Type,self-employed in non-agriculture
subsidiary_work,0.12907,2.29,0.296023,318255623,0.318,1075105823,1.075,1512,2,Sex,female,Household Religion,others
subsidiary_work,0.12907,2.29,0.296131,211857978,0.212,715420184,0.715,279,2,Marital Status,divorced/separated,Household Type,self-employed in agriculture
subsidiary_work,0.12907,2.27,0.293004,5486045060,5.486,18723428126,18.723,7266,2,age_band,45-59,Household Type,self-employed in non-agriculture
subsidiary_work,0.12907,2.25,0.28984,10631320958,10.631,36680011743,36.68,12073,2,age_band,25-34,Household Type,self-employed in agriculture
subsidiary_work,0.12907,2.25,0.290725,5432033677,5.432,18684420399,18.684,5746,2,age_band,25-34,Household Type,casual labour in non-agriculture
subsidiary_work,0.12907,2.22,0.286119,1900881346,1.901,6643672434,6.644,6406,2,General Education Level,secondary,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.22,0.286158,1709554027,1.71,5974154041,5.974,5630,2,General Education Level,higher secondary,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.21,0.285139,23242984595,23.243,81514553306,81.515,44803,2,Household Social Group,scheduled tribe,Sector,rural
subsidiary_work,0.12907,2.2,0.28424,13727948857,13.728,48296988211,48.297,18752,2,life_stage,working_age,Household Type,self-employed in non-agriculture
subsidiary_work,0.12907,2.2,0.284084,1479754474,1.48,5208858834,5.209,1600,2,age_band,25-34,General Education Level,literate: below primary
subsidiary_work,0.12907,2.18,0.281964,593936827,0.594,2106426493,2.106,2993,2,Technical Education Level,no technical education,Household Religion,others
subsidiary_work,0.12907,2.17,0.280703,594458940,0.594,2117754113,2.118,3017,1,Household Religion,others,,
subsidiary_work,0.12907,2.17,0.279437,97176072,0.097,347756449,0.348,587,2,General Education Level,middle,Household Religion,others
subsidiary_work,0.12907,2.13,0.275298,3836985764,3.837,13937586500,13.938,8655,2,General Education Level,primary,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.12,0.273426,8621573739,8.622,31531708723,31.532,14276,2,General Education Level,not literate,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.1,0.270811,92092491745,92.092,340061704164,340.062,119740,2,Marital Status,currently married,Sector,rural
subsidiary_work,0.12907,2.1,0.271431,31685505368,31.686,116735235718,116.735,40790,2,Marital Status,currently married,General Education Level,not literate
subsidiary_work,0.12907,2.1,0.270686,14500835958,14.501,53570668297,53.571,22754,2,life_stage,working_age,General Education Level,primary
subsidiary_work,0.12907,2.09,0.270026,20783561846,20.784,76968725109,76.969,29107,2,Household Religion,Hinduism,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.09,0.269627,5724571330,5.725,21231413188,21.231,9238,2,life_stage,working_age,General Education Level,literate: below primary
subsidiary_work,0.12907,2.07,0.266906,12057651177,12.058,45175594235,45.176,30121,2,Sex,male,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.05,0.264972,2081817095,2.082,7856744219,7.857,6243,2,Household Social Group,scheduled tribe,Household Type,self-employed in non-agriculture
subsidiary_work,0.12907,2.05,0.264906,276203317,0.276,1042648290,1.043,1505,2,Sex,male,Household Religion,others
subsidiary_work,0.12907,2.03,0.261532,23878189264,23.878,91301232371,91.301,60520,1,Household Social Group,scheduled tribe,,
subsidiary_work,0.12907,2.03,0.26138,23569701285,23.57,90174172382,90.174,59638,2,Technical Education Level,no technical education,Household Social Group,scheduled tribe
subsidiary_work,0.12907,2.02,0.260085,7041731200,7.042,27074730492,27.075,10897,2,age_band,35-44,Household Social Group,scheduled caste
subsidiary_work,0.12907,2.02,0.260689,2481928126,2.482,9520662973,9.521,3240,2,Household Social Group,scheduled tribe,Household Type,casual labour in agriculture
